Loja,Nome,Preço,Link,Imagem
Kabum,"Ventoinha Rise Mode, 120mm, Preto - RM-BK-01-FB",5.99,https://www.kabum.com.br/produto/153650/ventoinha-rise-mode-120mm-preto-rm-bk-01-fb,https://images.kabum.com.br/produtos/fotos/153650/cooler-fan-rise-mode-black-120mm-rm-bk-01-fb_1658161363_m.jpg
Kabum,"Ventoinha Rise Mode Wind W1, 120mm, LED Branco, Preto - RM-WN-01-BW",8.99,https://www.kabum.com.br/produto/111131/ventoinha-rise-mode-wind-w1-120mm-led-branco-preto-rm-wn-01-bw,https://images.kabum.com.br/produtos/fotos/111131/cooler-fan-rise-mode-wind-w1-120mm-led-branco-rm-wn-01-bw_1663777252_m.jpg
Kabum,"Pasta Térmica Rise Mode Silver Frost, 5g, Cinza - RM-TG-01-FRT",10.99,https://www.kabum.com.br/produto/96815/pasta-termica-rise-mode-silver-frost-5g-cinza-rm-tg-01-frt,https://images.kabum.com.br/produtos/fotos/96815/pasta-termica-rise-mode-silver-frost-5g-cinza-rm-tg-01-frt_1721236703_m.jpg
Kabum,"Ventoinha Rise Mode Hex, ARGB, 120mm, Preto - RM-FC-01-5V",21.99,https://www.kabum.com.br/produto/250679/ventoinha-rise-mode-hex-argb-120mm-preto-rm-fc-01-5v,https://images.kabum.com.br/produtos/fotos/250679/cooler-fan-rise-mode-hex-argb-5v-120mm-preto-rm-fc-01-5v_1652898338_m.jpg
Kabum,"Kit Com 3 Ventoinhas Rise Mode Energy, 120mm, ARGB, Preto - FN-02-RGB-5V",79.99,https://www.kabum.com.br/produto/153647/kit-com-3-ventoinhas-rise-mode-energy-120mm-argb-preto-fn-02-rgb-5v,https://images.kabum.com.br/produtos/fotos/153647/kit-com-3-ventoinhas-rise-mode-energy-120mm-argb-preto-fn-02-rgb-5v_1728325792_m.jpg
Kabum,"Kit Com 3 Ventoinhas Rise Mode Smart, 120mm, RGB, Preto - RM-FN-02-RGB",82.99,https://www.kabum.com.br/produto/96826/kit-com-3-ventoinhas-rise-mode-smart-120mm-rgb-preto-rm-fn-02-rgb,https://images.kabum.com.br/produtos/fotos/96826/cooler-fan-rise-smart-3-unidades-120mm-rgb-rm-fn-02-rgb_1663774233_m.jpg
Kabum,"Memória RAM Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8",149.99,https://www.kabum.com.br/produto/172365/memoria-ram-kingston-fury-beast-8gb-3200mhz-ddr4-cl16-preto-kf432c16bb-8,https://images.kabum.com.br/produtos/fotos/172365/memoria-kingston-fury-beast-8gb-3200mhz-ddr4-cl16-preto-kf432c16bb-8_1626270523_m.jpg
Kabum,"Water Cooler Rise Mode Gamer Black, RGB, 240mm, AMD/Intel, Preto - RM-WCB-02-RGB",169.99,https://www.kabum.com.br/produto/130043/water-cooler-rise-mode-gamer-black-rgb-240mm-amd-intel-preto-rm-wcb-02-rgb,https://images.kabum.com.br/produtos/fotos/130043/water-cooler-rise-mode-gamer-black-rgb-240mm-preto-rm-wcb-02-rgb_1663776681_m.jpg
Kabum,"SSD Kingston A400, 240GB, SATA III, 2.5"", Leitura: 500MB/s, Gravação: 350MB/s, Preto - SA400S37/240G",169.99,https://www.kabum.com.br/produto/85197/ssd-kingston-a400-240gb-sata-iii-2-5-leitura-500mb-s-gravacao-350mb-s-preto-sa400s37-240g,https://images.kabum.com.br/produtos/fotos/85197/85197_1484306076_m.jpg
Kabum,"SSD Kingston A400, 480GB, SATA III, 2.5"", Leitura: 500MB/s, Gravação: 450MB/s, Preto - SA400S37/480G",249.99,https://www.kabum.com.br/produto/85198/ssd-kingston-a400-480gb-sata-iii-2-5-leitura-500mb-s-gravacao-450mb-s-preto-sa400s37-480g,https://images.kabum.com.br/produtos/fotos/85198/85198_1484306114_m.jpg
